,ID,full_name,club,age,league,height_cm,weight_kg,puntaje_global,potencia,ritmo,disparos,pases,amagues,defensa,físico
3292,223240,Gonzalo Bettini,Banfield,24,Argentinian Superliga,171.0,74.0,alto,77,73,41,65,63,70,67
3299,188938,Cristian Álvarez,Real Zaragoza,31,Spanish Segunda División,186.0,83.0,alto,72,72,70,69,74,48,72
3302,215309,Lucas Albertengo,Independiente,26,Argentinian Superliga,185.0,71.0,alto,75,72,71,69,73,25,66
3303,223245,Brian Fernández,FC Metz,22,French Ligue 1,171.0,70.0,alto,80,88,68,66,78,25,58
3309,143119,Mariano Pavone,Estudiantes de La Plata,35,Argentinian Superliga,181.0,81.0,alto,72,55,76,57,62,29,80
3322,215060,Nicolás Aguirre,Club Atlético Lanús,26,Argentinian Superliga,180.0,78.0,alto,72,71,71,71,73,62,75
3357,219167,Sergio Vittor,Racing Club de Avellaneda,28,Argentinian Superliga,189.0,86.0,alto,73,59,61,63,67,70,78
3381,207657,Fernando Barrientos,Club Atlético Lanús,25,Argentinian Superliga,174.0,70.0,alto,77,68,57,71,71,61,69
3386,220715,Ezequiel Ponce,LOSC Lille,20,French Ligue 1,178.0,78.0,alto,80,77,71,55,72,28,62
3399,204337,Gervasio Núñez,Atlético Tucumán,29,Argentinian Superliga,180.0,78.0,alto,72,78,68,69,73,37,70
3404,139058,Omar Pérez,Independiente Santa Fe,36,Colombian Primera A,180.0,82.0,alto,72,41,67,77,72,50,59
3422,231478,Lautaro Martínez,Racing Club de Avellaneda,19,Argentinian Superliga,174.0,79.0,alto,88,79,70,53,70,29,76
3428,226616,Jonathan Galván,Colon de Santa Fe,25,Argentinian Superliga,177.0,69.0,alto,78,67,56,55,57,72,78
3444,215358,Marcelo Meli,Racing Club de Avellaneda,25,Argentinian Superliga,180.0,79.0,alto,76,80,61,66,72,70,75
3450,234816,Nicolás Gorosito,Getafe CF,28,Spanish Primera División,186.0,79.0,alto,73,68,51,60,54,71,74
3472,226376,Alejandro Romero Gamarra,Club Atlético Huracán,22,Argentinian Superliga,171.0,67.0,alto,82,83,65,66,77,29,48
3483,153164,Alejandro Faurlín,Cruz Azul,30,Mexican Liga MX,185.0,79.0,alto,72,42,59,72,63,66,74
3484,158540,Cristian Campestrini,Chacarita Juniors,37,Argentinian Superliga,182.0,82.0,alto,72,74,71,64,73,25,71
3504,226385,Cristian Espinoza,Boca Juniors,22,Argentinian Superliga,172.0,70.0,alto,82,77,65,67,76,28,51
3515,202069,José Luis Fernández,Rosario Central,29,Argentinian Superliga,169.0,67.0,alto,72,81,66,70,72,52,60
3516,142677,Leandro Desábato,Estudiantes de La Plata,38,Argentinian Superliga,187.0,87.0,alto,72,35,39,58,38,73,68
3524,183895,Maxi Moralez,New York City Football Club,30,USA Major League Soccer,158.0,56.0,alto,72,78,68,75,78,53,48
3529,222041,Lucas Boyé,Torino,21,Italian Serie A,180.0,80.0,alto,82,73,66,64,78,33,74
3533,142938,Germán Denis,Club Atlético Lanús,35,Argentinian Superliga,184.0,89.0,alto,72,37,75,61,62,28,69
3568,184422,Luis Ardente,San Martín de San Juan,35,Argentinian Superliga,189.0,81.0,alto,72,70,72,82,75,23,70
3646,177537,Nicolás Bertolo,Banfield,31,Argentinian Superliga,179.0,75.0,alto,72,68,67,71,75,37,64
3655,178566,Javier García,Racing Club de Avellaneda,30,Argentinian Superliga,183.0,75.0,alto,72,77,65,75,77,35,67
3658,158088,Pablo Álvarez,Club Atlético Huracán,33,Argentinian Superliga,178.0,80.0,alto,72,69,52,64,63,73,78
3692,214933,Diego Rodríguez,Rosario Central,28,Argentinian Superliga,184.0,80.0,alto,74,73,68,78,75,47,66
3708,236441,Fabricio Bustos,Independiente,21,Argentinian Superliga,168.0,69.0,alto,84,83,51,63,72,66,59
3746,142756,Patricio Toranzo,Club Atlético Huracán,35,Argentinian Superliga,178.0,73.0,alto,72,55,67,75,72,58,66
3759,142762,Jonathan Bottinelli,Unión de Santa Fe,32,Argentinian Superliga,180.0,79.0,alto,72,46,36,54,52,71,73
3767,222124,Hernán Fredes,Defensa y Justicia,30,Argentinian Superliga,172.0,70.0,alto,72,70,61,74,73,46,55
3782,222644,Yamil Asad,Atlanta United FC,22,USA Major League Soccer,177.0,78.0,alto,79,73,67,69,73,60,69
3787,214965,Claudio Riaño,Necaxa,28,Mexican Liga MX,177.0,75.0,alto,72,78,70,62,71,23,66
3823,221634,Luciano Acosta,D.C. United,23,USA Major League Soccer,161.0,61.0,alto,75,84,66,65,77,34,59
3848,142794,Facundo Erpen,Club Atlas,34,Mexican Liga MX,180.0,78.0,alto,72,65,53,55,54,70,76
3861,217805,Alexis Martín Arias,Gimnasia y Esgrima La Plata,24,Argentinian Superliga,185.0,80.0,alto,77,76,60,76,75,45,71
3887,231128,Hernán Toledo,UD Las Palmas,21,Spanish Primera División,180.0,72.0,alto,81,80,68,66,77,49,68
3901,201953,Juan Sánchez Miño,Independiente,27,Argentinian Superliga,177.0,76.0,alto,73,71,70,74,72,68,68
3904,219617,Joaquín Arzura,CA Osasuna,24,Spanish Segunda División,176.0,71.0,alto,78,72,48,64,66,69,77
3917,216036,Rafael Delgado,Defensa y Justicia,27,Argentinian Superliga,175.0,76.0,alto,73,71,57,71,72,68,73
3926,215015,Bruno Bianchi,Newell's Old Boys,28,Argentinian Superliga,184.0,79.0,alto,72,62,34,53,59,73,71
3927,219879,Matías Pisano,Club Tijuana,25,Mexican Liga MX,166.0,61.0,alto,75,77,65,69,73,35,46
3928,236007,Ezequiel Barco,Independiente,18,Argentinian Superliga,167.0,66.0,alto,90,85,66,66,77,34,45
3945,167661,Jesús Méndez,Deportivo Toluca,32,Mexican Liga MX,178.0,77.0,alto,72,63,65,71,72,65,76
3960,172019,Pablo Mouche,Banfield,29,Argentinian Superliga,177.0,72.0,alto,72,80,69,68,74,22,62
3969,212214,Augusto Solari,Racing Club de Avellaneda,25,Argentinian Superliga,180.0,80.0,alto,75,83,59,69,72,49,71
3991,218621,Facundo Sánchez,Estudiantes de La Plata,27,Argentinian Superliga,176.0,74.0,alto,73,91,60,60,72,66,69
3995,224510,Walter Bou,Boca Juniors,23,Argentinian Superliga,174.0,74.0,alto,79,73,75,62,70,19,56
4001,142592,Israel Damonte,Estudiantes de La Plata,35,Argentinian Superliga,176.0,72.0,alto,71,61,58,70,70,69,66
4069,205849,Esteban Andrada,Club Atlético Lanús,26,Argentinian Superliga,193.0,80.0,alto,76,73,67,64,75,44,67
4096,159520,Nereo Fernández,Unión de Santa Fe,38,Argentinian Superliga,195.0,85.0,alto,71,66,71,62,70,43,78
4099,157217,Neri Cardozo,Monterrey,30,Mexican Liga MX,173.0,69.0,alto,71,80,62,72,73,60,72
4110,215332,Carlos Auzqui,River Plate,26,Argentinian Superliga,180.0,74.0,alto,72,82,71,67,69,37,70
4132,188201,Tomás Costa,Bahía Blanca,32,Argentinian Superliga,186.0,77.0,alto,71,59,56,71,60,61,77
4143,199726,Marco Torsiglieri,Racing Club de Avellaneda,29,Argentinian Superliga,190.0,86.0,alto,71,38,44,58,47,71,78
4188,49212,Julián Speroni,Crystal Palace,38,English Premier League,186.0,80.0,alto,71,74,70,67,73,43,67
4203,221250,Gerónimo Poblete,FC Metz,24,French Ligue 1,173.0,63.0,alto,78,69,52,67,70,65,69
4204,193602,Maximiliano Coronel,Gimnasia y Esgrima La Plata,28,Argentinian Superliga,180.0,80.0,alto,73,54,37,51,49,71,68
4236,172620,Matías Cahais,Bahía Blanca,29,Argentinian Superliga,185.0,80.0,alto,71,52,45,53,52,72,74
4252,203859,Lucas Aveldaño,CD Tenerife,31,Spanish Segunda División,185.0,82.0,alto,71,59,52,53,46,68,80
4254,231507,Alexis Soto,Racing Club de Avellaneda,23,Argentinian Superliga,174.0,84.0,alto,78,76,36,59,73,68,65
4266,203863,Luis Fariña,CD Aves,26,Portuguese Primeira Liga,177.0,72.0,alto,73,73,64,68,75,52,56
4268,169815,Carlos Luna,Club Atlético Tigre,35,Argentinian Superliga,179.0,81.0,alto,71,60,71,65,67,27,66
4270,203864,Bruno Zuculini,Hellas Verona,24,Italian Serie A,178.0,72.0,alto,77,69,62,70,73,65,58
4289,207454,Patricio Rodríguez,AEK Athens,27,Greek Super League,168.0,62.0,alto,71,78,64,70,73,35,42
4294,232543,Sebastián Bertoli,Club Atlético Patronato,39,Argentinian Superliga,185.0,81.0,alto,71,75,71,79,71,29,65
4319,215144,Emanuel Insúa,Panathinaikos FC,26,Greek Super League,182.0,82.0,alto,74,73,58,62,68,69,74
4323,210281,Cristian Pellerano,Tiburones Rojos de Veracruz,35,Mexican Liga MX,182.0,74.0,alto,71,55,68,66,66,70,81
4327,162411,Emanuel Villa,Querétaro,35,Mexican Liga MX,178.0,83.0,alto,71,43,71,62,64,41,68
4345,142705,Mariano González,Club Atlético Huracán,36,Argentinian Superliga,175.0,80.0,alto,71,60,73,72,74,55,68
4351,192370,Mauro Formica,U.N.A.M.,29,Mexican Liga MX,178.0,70.0,alto,71,76,69,66,74,30,59
4353,215155,Fernando Zuqui,Estudiantes de La Plata,25,Argentinian Superliga,170.0,65.0,alto,74,68,63,70,74,59,68
4358,215157,Federico Lértora,Belgrano de Córdoba,26,Argentinian Superliga,176.0,73.0,alto,73,65,51,66,65,73,71
4361,193141,Iván Pillud,Racing Club de Avellaneda,31,Argentinian Superliga,179.0,79.0,alto,71,84,50,62,63,68,78
4438,214671,Rodrigo Gómez,Deportivo Toluca,24,Mexican Liga MX,168.0,65.0,alto,74,85,68,67,74,49,57
4471,165784,Darío Bottinelli,CD America de Cali,30,Colombian Primera A,167.0,67.0,alto,71,57,66,73,71,34,66
4485,235675,Mateo García,CA Osasuna,20,Spanish Segunda División,169.0,65.0,alto,83,72,67,65,77,24,42
4533,202154,Fabian Bordagaray,Defensa y Justicia,30,Argentinian Superliga,178.0,75.0,alto,71,73,73,63,72,36,65
4550,215216,Alexis Niz,Club Atlético Tigre,29,Argentinian Superliga,179.0,79.0,alto,71,65,43,46,45,72,69
4566,221619,Víctor Cabrera,Montreal Impact,24,USA Major League Soccer,182.0,72.0,alto,74,71,38,53,63,71,70
4578,215223,Walter Benítez,OGC Nice,24,French Ligue 1,191.0,91.0,alto,78,71,69,65,74,47,70
4586,165561,Cristian Villagra,Atlético Tucumán,31,Argentinian Superliga,177.0,73.0,alto,71,79,56,67,68,69,70
4589,210363,Lucas Wílchez,Arsenal de Sarandí,33,Argentinian Superliga,173.0,65.0,alto,71,71,66,70,73,34,61
4605,223422,Emanuel Loeschbor,Monarcas Morelia,30,Mexican Liga MX,180.0,76.0,alto,71,60,39,43,47,70,71
4632,171975,Gonzalo Bergessio,Vélez Sarsfield,32,Argentinian Superliga,179.0,74.0,alto,71,65,69,61,66,31,75
4642,227530,Damián Lemos,Club Atlético Patronato,28,Argentinian Superliga,178.0,82.0,alto,71,67,40,60,62,72,78
4651,214733,Maximiliano Cerato,Club León,29,Mexican Liga MX,171.0,68.0,alto,71,91,60,62,73,22,56
4652,224461,Walter Montoya,Sevilla FC,23,Spanish Primera División,175.0,73.0,alto,77,80,60,66,75,38,60
4671,214993,Pablo Alvarado,Defensa y Justicia,31,Argentinian Superliga,182.0,81.0,alto,71,58,35,49,59,72,72
4679,191443,Federico Mancinelli,Club Atlético Huracán,35,Argentinian Superliga,181.0,80.0,alto,71,48,43,50,60,71,75
4747,153061,Gustavo Colman,Rosario Central,32,Argentinian Superliga,175.0,72.0,alto,71,58,63,76,71,51,57
4748,185061,Javier Morales,FC Dallas,37,USA Major League Soccer,175.0,64.0,alto,71,59,73,73,67,40,56
4750,153062,Víctor Figueroa,Newell's Old Boys,33,Argentinian Superliga,168.0,63.0,alto,71,79,66,72,73,45,55
4766,153066,Lucas Licht,Gimnasia y Esgrima La Plata,36,Argentinian Superliga,174.0,72.0,alto,71,79,60,65,73,70,64
4768,212715,Sebastián Palacios,Talleres de Cordoba,25,Argentinian Superliga,170.0,69.0,alto,74,90,67,62,74,35,64
4769,237291,Gustavo Blanco Leschuk,Shakhtar Donetsk,25,Ukrainian Premier League,190.0,85.0,alto,75,68,68,46,60,29,68
4771,226797,Ignacio Malcorra,Club Tijuana,29,Mexican Liga MX,170.0,70.0,alto,71,76,64,71,72,42,63
4779,163056,Nereo Champagne,CD Leganés,32,Spanish Primera División,190.0,88.0,alto,71,70,68,66,71,38,72
4787,179698,Leandro Grimi,Racing Club de Avellaneda,32,Argentinian Superliga,183.0,78.0,alto,71,68,62,63,65,71,74
4792,214772,Nicolás Pasquini,Club Atlético Lanús,26,Argentinian Superliga,172.0,76.0,alto,73,76,64,71,72,63,64
4818,215294,Cristian Menéndez,Tiburones Rojos de Veracruz,29,Mexican Liga MX,185.0,81.0,alto,71,67,71,60,65,32,70
4872,223243,Emanuel Aguilera,Club Tijuana,28,Mexican Liga MX,187.0,87.0,medio,71,59,48,53,53,71,73
4943,224796,Jorge Rodríguez,Banfield,21,Argentinian Superliga,187.0,84.0,medio,77,64,29,38,46,71,66
4948,215070,Guillermo Ortíz,Colon de Santa Fe,24,Argentinian Superliga,183.0,80.0,medio,76,70,31,46,44,69,73
4976,215082,Fabián Muñoz,Temperley,25,Argentinian Superliga,175.0,72.0,medio,73,87,66,59,73,31,67
4998,222511,Ezequiel Unsain,Defensa y Justicia,22,Argentinian Superliga,188.0,83.0,medio,77,78,64,73,74,42,60
5032,202811,Emiliano Martinez,Getafe CF,24,Spanish Primera División,193.0,85.0,medio,76,71,68,73,72,58,67
5050,211263,Lisandro Magallán,Boca Juniors,23,Argentinian Superliga,185.0,80.0,medio,77,58,38,48,59,69,74
5075,232517,Nicolás Silva,Club Atlético Huracán,27,Argentinian Superliga,163.0,58.0,medio,70,86,52,67,76,17,42
5077,222022,Leonel Di Plácido,Club Atlético Lanús,23,Argentinian Superliga,173.0,71.0,medio,79,83,45,64,72,63,63
5094,226636,Nicolás Sánchez,Godoy Cruz,25,Argentinian Superliga,180.0,70.0,medio,73,76,58,70,69,44,63
5095,232524,Nicolás Romat,Atlético Tucumán,29,Argentinian Superliga,182.0,82.0,medio,70,65,49,56,63,72,74
5097,215117,Leandro Desábato,Vélez Sarsfield,27,Argentinian Superliga,176.0,76.0,medio,72,69,52,65,67,67,74
5102,142670,Rodrigo Braña,Estudiantes de La Plata,38,Argentinian Superliga,169.0,70.0,medio,70,48,58,69,69,69,60
5116,215380,Guido Milan,Tiburones Rojos de Veracruz,29,Mexican Liga MX,193.0,92.0,medio,70,34,34,42,32,72,77
5129,223065,Gustavo Toledo,Colon de Santa Fe,27,Argentinian Superliga,171.0,72.0,medio,70,81,47,61,70,64,65
5143,203871,Valentín Viola,Independiente Medellín,25,Colombian Primera A,182.0,76.0,medio,72,70,68,67,70,26,68
5152,233825,Nicolás Leguizamón,Colon de Santa Fe,22,Argentinian Superliga,180.0,75.0,medio,79,72,68,45,67,27,74
5164,228708,Lucas Martínez Quarta,River Plate,21,Argentinian Superliga,183.0,78.0,medio,83,69,53,62,65,68,70
5174,223335,Lucas Diarte,Estudiantes de La Plata,24,Argentinian Superliga,175.0,73.0,medio,76,64,30,47,61,71,67
5193,215147,Lautaro Giannetti,Vélez Sarsfield,23,Argentinian Superliga,184.0,79.0,medio,79,65,37,38,46,72,72
5209,190575,Franco Zuculini,Hellas Verona,26,Italian Serie A,176.0,68.0,medio,70,68,57,68,70,64,66
5210,192367,Ignacio Canuto,Club Atlético Lanús,31,Argentinian Superliga,182.0,76.0,medio,70,55,46,50,60,68,74
5222,227186,Augusto Batalla,River Plate,21,Argentinian Superliga,185.0,79.0,medio,80,72,69,65,73,42,62
5236,165494,Franco Niell,Gimnasia y Esgrima La Plata,34,Argentinian Superliga,162.0,56.0,medio,70,89,66,62,72,37,51
5263,215165,Ciro Rius,Defensa y Justicia,28,Argentinian Superliga,171.0,73.0,medio,70,77,59,69,74,34,65
5267,210814,Julián Velázquez,Cruz Azul,26,Mexican Liga MX,184.0,80.0,medio,72,66,43,47,53,71,71
5273,142720,Carlos Araujo,Club Atlético Huracán,35,Argentinian Superliga,172.0,69.0,medio,70,68,45,64,70,70,67
5278,219521,Manuel García,Club Atlético Huracán,28,Argentinian Superliga,188.0,76.0,medio,70,71,65,64,73,45,67
5282,205186,Paulo Gazzaniga,Tottenham Hotspur,25,English Premier League,196.0,90.0,medio,75,67,73,84,70,64,68
5305,223881,Julio Chiarini,Club Atlético Tigre,35,Argentinian Superliga,181.0,78.0,medio,70,70,65,73,73,47,73
5313,192906,Luis Miguel Rodríguez,Atlético Tucumán,32,Argentinian Superliga,168.0,71.0,medio,70,70,71,70,74,22,61
5334,165520,Óscar Scarione,Göztepe,31,Turkish Süper Lig,179.0,71.0,medio,70,67,69,70,71,36,59
5367,207769,Pablo Nicolás Caballero,UD Almería,31,Spanish Segunda División,191.0,79.0,medio,70,38,70,54,61,31,64
5442,214447,Sergio López,CD Once Caldas Manizales,28,Colombian Primera A,170.0,69.0,medio,70,67,59,74,70,37,55
5459,215987,Facundo Oreja,Gimnasia y Esgrima La Plata,35,Argentinian Superliga,169.0,73.0,medio,70,70,41,62,60,71,63
5514,214979,Juan Musso,Racing Club de Avellaneda,23,Argentinian Superliga,191.0,93.0,medio,77,71,67,71,75,44,69
5519,219844,Franco Bellocq,Bahía Blanca,23,Argentinian Superliga,175.0,74.0,medio,77,66,50,63,67,68,70
5525,226757,Matías Escudero,San Martín de San Juan,28,Argentinian Superliga,185.0,79.0,medio,71,64,23,39,43,71,67
5562,216015,Néstor Moiraghi,Asociacion Deportivo Cali,32,Colombian Primera A,179.0,79.0,medio,70,55,32,40,44,71,69
5581,123603,Hugo Campagnaro,Pescara,37,Italian Serie B,181.0,85.0,medio,70,46,39,52,52,70,74
5605,229595,Lucas Rodríguez,Estudiantes de La Plata,20,Argentinian Superliga,168.0,64.0,medio,81,77,63,64,72,52,58
5623,220128,Jonatan Cristaldo,Vélez Sarsfield,28,Argentinian Superliga,175.0,76.0,medio,70,76,69,60,70,29,65
5630,215266,Lucas Melano,Estudiantes de La Plata,24,Argentinian Superliga,186.0,81.0,medio,76,90,66,63,67,30,73
5633,226787,Santiago Rosales,Racing Club de Avellaneda,22,Argentinian Superliga,180.0,69.0,medio,80,83,61,65,74,22,58
5650,215017,Guillermo Cosaro,Club Atlético Tigre,27,Argentinian Superliga,177.0,72.0,medio,70,75,37,59,66,69,75
5666,214765,Marcelo Herrera,Club Atlético Lanús,25,Argentinian Superliga,185.0,78.0,medio,74,68,48,62,61,69,71
5697,232692,Guillermo Acosta,Atlético Tucumán,28,Argentinian Superliga,170.0,65.0,medio,70,78,56,66,71,59,71
5726,236287,Nicolás Ibáñez,Gimnasia y Esgrima La Plata,22,Argentinian Superliga,180.0,70.0,medio,75,74,69,54,64,24,69
5749,213253,Hernán Grana,FC Dallas,32,USA Major League Soccer,170.0,68.0,medio,69,76,53,62,70,66,71
5763,223495,Iván Rossi,River Plate,23,Argentinian Superliga,183.0,76.0,medio,78,73,51,60,65,71,74
5772,223241,Marcelo Benítez,Belgrano de Córdoba,26,Argentinian Superliga,183.0,81.0,medio,71,77,44,62,62,65,70
5776,220938,Jorge Correa,Vélez Sarsfield,24,Argentinian Superliga,170.0,70.0,medio,74,77,70,63,72,27,60
5780,198156,Leandro Marín,FC Lausanne-Sports,25,Swiss Super League,181.0,78.0,medio,71,70,51,61,66,66,74
5833,198426,Gonzalo Castellani,Defensa y Justicia,29,Argentinian Superliga,183.0,76.0,medio,69,67,68,72,71,42,74
5850,208158,Federico Andrada,Vélez Sarsfield,23,Argentinian Superliga,180.0,76.0,medio,75,75,67,65,69,27,67
5851,224542,Nery Leyes,Newell's Old Boys,27,Argentinian Superliga,181.0,78.0,medio,69,65,44,60,60,69,78
5865,188194,Luis Ibáñez,Kardemir Karabükspor,28,Turkish Süper Lig,170.0,73.0,medio,69,80,69,67,75,64,68
5872,215076,Lorenzo Faravelli,Gimnasia y Esgrima La Plata,24,Argentinian Superliga,172.0,67.0,medio,74,75,65,64,71,63,67
5881,219174,Ramiro Carrera,Arsenal de Sarandí,25,Argentinian Superliga,182.0,72.0,medio,72,82,66,66,66,43,71
5884,215335,Maximiliano Núñez,CD Los Millionarios Bogota,30,Colombian Primera A,170.0,69.0,medio,69,86,61,67,67,48,54
5918,139057,Clemente Rodríguez,Colon de Santa Fe,35,Argentinian Superliga,167.0,65.0,medio,69,72,57,64,67,66,69
5929,221747,Gonzalo Díaz,Defensa y Justicia,27,Argentinian Superliga,169.0,72.0,medio,69,79,56,63,74,36,52
5968,172094,Martín Bravo,Tiburones Rojos de Veracruz,30,Mexican Liga MX,168.0,72.0,medio,69,75,67,66,70,33,68
5978,232514,Gabriel Carabajal,San Martín de San Juan,25,Argentinian Superliga,178.0,75.0,medio,72,70,63,63,72,31,61
5979,156483,Cristian Lucchetti,Atlético Tucumán,39,Argentinian Superliga,182.0,69.0,medio,69,70,65,75,75,43,62
5987,233029,Rodrigo Aliendro,Atlético Tucumán,26,Argentinian Superliga,175.0,74.0,medio,70,79,64,62,71,42,68
5988,194885,Cristian Erbes,Chacarita Juniors,27,Argentinian Superliga,172.0,75.0,medio,70,67,54,65,68,70,64
5994,215111,Gonzalo Verón,New York Red Bulls,27,USA Major League Soccer,178.0,76.0,medio,69,83,62,64,70,35,57
6012,233292,Miguel Barbieri,Racing Club de Avellaneda,23,Argentinian Superliga,181.0,79.0,medio,76,63,33,39,50,67,75
6019,152910,Cristian Nasuti,Bahía Blanca,34,Argentinian Superliga,181.0,84.0,medio,69,31,40,52,46,69,68
6045,215123,Alan Aguerre,Vélez Sarsfield,26,Argentinian Superliga,181.0,80.0,medio,73,67,70,60,69,46,68
6047,228179,Alexis Castro,San Lorenzo de Almagro,22,Argentinian Superliga,176.0,71.0,medio,79,77,66,65,71,63,62
6050,213588,Alejandro Sánchez,Atlético Tucumán,30,Argentinian Superliga,187.0,84.0,medio,69,67,64,69,74,21,67
6069,215130,Nelson Ibáñez,Newell's Old Boys,35,Argentinian Superliga,185.0,85.0,medio,69,74,65,76,72,45,64
6072,202331,Facundo Quignon,San Lorenzo de Almagro,24,Argentinian Superliga,174.0,75.0,medio,76,69,53,65,64,67,71
6092,219491,Rodrigo Erramuspe,Independiente Medellín,27,Colombian Primera A,187.0,81.0,medio,72,51,33,39,42,70,72
6119,224876,Marcos Curado,Arsenal de Sarandí,22,Argentinian Superliga,187.0,80.0,medio,75,57,36,39,38,68,74
6123,215149,Lucas Ceballos,Colon de Santa Fe,30,Argentinian Superliga,166.0,67.0,medio,69,78,44,64,69,64,59
6137,226162,Emiliano Buendía,C.D. Leonesa S.A.D.,20,Spanish Segunda División,170.0,65.0,medio,76,71,61,70,70,61,58
6142,217203,Leonardo Sánchez,Unión de Santa Fe,30,Argentinian Superliga,190.0,85.0,medio,69,38,34,37,42,71,74
6154,165493,Nicolás Navarro,San Lorenzo de Almagro,32,Argentinian Superliga,191.0,87.0,medio,69,69,68,68,69,51,68
6189,215169,Facundo Castillón,Club Atlético Lanús,31,Argentinian Superliga,173.0,71.0,medio,69,81,66,61,73,27,57
6195,179842,José San Román,Newell's Old Boys,28,Argentinian Superliga,172.0,70.0,medio,69,65,21,52,62,72,67
6206,214661,Gaspar Iñíguez,Udinese,23,Italian Serie A,172.0,76.0,medio,76,67,54,66,70,64,69
6207,162949,Emiliano Armenteros,Santos Laguna,31,Mexican Liga MX,180.0,78.0,medio,69,64,67,71,69,52,60
6216,193414,Nicolás Colazo,Gimnasia y Esgrima La Plata,26,Argentinian Superliga,175.0,72.0,medio,69,81,63,68,71,66,66
6223,214665,Juan Ramírez,Talleres de Cordoba,24,Argentinian Superliga,174.0,68.0,medio,73,76,58,65,75,54,60
6224,158089,Pablo Ledesma,Colon de Santa Fe,33,Argentinian Superliga,178.0,79.0,medio,69,53,54,70,66,62,72
6231,215178,Erik Godoy,Belgrano de Córdoba,23,Argentinian Superliga,184.0,79.0,medio,76,67,32,52,50,66,78
6244,215183,Ezequiel Rescaldani,SD Huesca,25,Spanish Segunda División,191.0,83.0,medio,74,42,70,52,57,35,70
6272,215192,Gastón Díaz,Vélez Sarsfield,29,Argentinian Superliga,175.0,75.0,medio,69,79,56,71,71,60,69
6310,219553,Claudio Aquino,Unión de Santa Fe,25,Argentinian Superliga,173.0,78.0,medio,71,73,67,66,69,37,67
6348,215213,Axel Werner,Atlético Madrid,21,Spanish Primera División,191.0,86.0,medio,81,78,67,74,70,44,64
6354,143025,Emiliano Papa,Arsenal de Sarandí,35,Argentinian Superliga,169.0,67.0,medio,69,73,46,67,67,66,58
6382,143032,Ismael Blanco,Atlético Tucumán,34,Argentinian Superliga,179.0,78.0,medio,69,52,70,63,70,42,61
6398,190651,Miguel Ángel Martínez,Querétaro,33,Mexican Liga MX,187.0,89.0,medio,69,39,50,45,36,70,77
6435,220358,Facundo Monteseirín,Arsenal de Sarandí,22,Argentinian Superliga,184.0,82.0,medio,76,54,35,47,58,69,70
6451,224459,Víctor Salazar,San Lorenzo de Almagro,24,Argentinian Superliga,170.0,67.0,medio,75,90,47,55,69,65,67
6459,224205,Mariano Barbieri,Belgrano de Córdoba,26,Argentinian Superliga,163.0,64.0,medio,70,76,63,64,72,27,47
6465,217807,Javier Mendoza,Chacarita Juniors,24,Argentinian Superliga,171.0,70.0,medio,72,81,60,62,72,29,55
6478,215249,Rodrigo Depetris,Club Atlético Tigre,27,Argentinian Superliga,177.0,71.0,medio,69,76,66,65,69,21,58
6483,215250,César Rigamonti,Vélez Sarsfield,30,Argentinian Superliga,188.0,87.0,medio,69,67,64,62,69,44,74
6545,234468,Emanuel Reynoso,Talleres de Cordoba,21,Argentinian Superliga,177.0,65.0,medio,79,65,55,67,73,40,54
6569,185064,Fabián Espíndola,Albacete Balompié,32,Spanish Segunda División,178.0,80.0,medio,69,73,69,65,71,29,71
6582,215020,Juan Ignacio Cavallaro,San Lorenzo de Almagro,23,Argentinian Superliga,171.0,68.0,medio,77,77,66,65,71,36,60
6594,212208,Leonel Galeano,Godoy Cruz,25,Argentinian Superliga,184.0,84.0,medio,74,61,34,55,56,69,71
6598,212721,Nahuel Zárate,Atlético Tucumán,24,Argentinian Superliga,180.0,73.0,medio,72,76,46,59,65,67,65
6620,232695,Franco Sbuttoni,Atlético Tucumán,28,Argentinian Superliga,190.0,84.0,medio,69,44,28,44,44,68,74
6624,214776,Óscar Benítez,Boca Juniors,24,Argentinian Superliga,184.0,83.0,medio,74,77,63,66,72,52,69
6665,143107,Marcos Gelabert,San Martín de San Juan,35,Argentinian Superliga,176.0,72.0,medio,68,55,53,67,69,59,66
6686,227591,Alexis Canelo,Deportivo Toluca,25,Mexican Liga MX,180.0,83.0,medio,72,81,68,62,71,26,63
6687,143112,Pablo Lugüercio,Estudiantes de La Plata,35,Argentinian Superliga,177.0,79.0,medio,68,85,64,60,68,38,66
6692,223498,Emanuel Cecchini,Málaga CF,20,Spanish Primera División,179.0,78.0,medio,79,73,66,66,70,63,64
6698,190987,Luciano Civelli,Banfield,30,Argentinian Superliga,187.0,84.0,medio,68,72,64,66,66,64,74
6707,220429,Gastón Campi,Estudiantes de La Plata,26,Argentinian Superliga,193.0,87.0,medio,72,47,45,56,58,66,77
6718,223249,Gabriel Arias,Defensa y Justicia,29,Argentinian Superliga,187.0,91.0,medio,68,68,62,58,76,38,67
6755,143133,Diego Herner,CD America de Cali,33,Colombian Primera A,186.0,83.0,medio,68,34,38,40,41,68,69
6794,237604,Alan Franco,Independiente,20,Argentinian Superliga,183.0,77.0,medio,79,63,29,32,41,71,70
6805,221990,Yonathan Cabral,Atlético Tucumán,25,Argentinian Superliga,188.0,93.0,medio,74,52,29,44,45,68,72
6873,225591,Leonardo Suárez,Villarreal CF,21,Spanish Primera División,167.0,60.0,medio,79,71,65,68,76,22,41
